Group,Mouse ID,Sex,Exposure Period (days),PFAS Type,Dose (mg/kg)*,Whole Liver Weight (g),,Notes,Analysis Batch #,Results file name,Concentration. unit,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,FV31,Female,28,0.5% Tween 20,,1.051,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000301751,0.236428291,<MDL,0.000283703,<MDL,<MDL,0.000520857,0.000726238,0.001013776,0.000238175,0.000232199,<MDL,<MDL,<MDL,0.007139473,0.010480734,<MDL,0.000273187,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.301750978,236.4282911,<MDL,0.283702721,<MDL,<MDL,0.520857463,0.726237765,1.013775756,0.238174705,0.232198637,<MDL,<MDL,<MDL,7.139472591,10.48073387,<MDL,0.273187409,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV32,Female,28,0.5% Tween 20,,0.958,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000271763,0.144116196,<MDL,<MDL,<MDL,<MDL,0.000528512,0.000718257,0.001020828,0.000250645,0.000199445,<MDL,<MDL,<MDL,0.001205027,0.003212549,<MDL,0.000213782,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.271762714,144.116196,<MDL,<MDL,<MDL,<MDL,0.528511892,0.718257373,1.020827732,0.250644798,0.199444879,<MDL,<MDL,<MDL,1.205027406,3.212548851,<MDL,0.213782067,<MDL,<MDL,<MDL,NA,NA,NA
PFOS 1.5,MS33,Male,28,PFOS,1.5,1.984,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,456.8098882,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.234834854,6.515160333,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS34,Male,28,PFOS,1.5,1.763,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,522.1575002,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.073469151,7.051166196,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS35,Male,28,PFOS,1.5,1.978,,Flow spleen half - big dark spot (~75%),ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,433.4040078,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,0.878777376,4.905846497,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS36,Male,28,PFOS,1.5,1.839,,,ML-B1,20241024_ML_Batch1_LessSample_Summary,mg/kg (ppm),<MDL,505.6824568,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,<MDL,1.142743372,5.844902644,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS37,Male,28,PFOS,1.5,1.819,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,432.1676949,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.298082434,6.119321887,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS38,Male,28,PFOS,1.5,1.776,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,490.8771531,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.537281652,6.717817302,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS39,Male,28,PFOS,1.5,1.473,,,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,495.0533135,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.249390739,6.744214439,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
PFOS 1.5,MS40,Male,28,PFOS,1.5,1.98,,Flow spleen half - almost all dark.,ML-B4,20241125_ML_Batch4_Less_Summary,mg/kg (ppm),<MDL,441.8820328,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.120094275,6.054667287,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,,,,,,,,,,,,,,,,,,,,,,,
