Sample:,Sex,group,B Cells,B220+ F4/80+,DCs,CD8dcs,CD4 DCs,B220-macs,NK,T cells,CD4 T cells,CD4 CD69,CD8,CD8 CD69,CD4 CD25 CD69-ve,CD4 DP
April 25_MA93_006.fcs,Male,PFOA 0.5,29.1,14.7,1.27,8.66,36.9,2.68,1.98,42.1,53.6,2.49,42.4,0.96,0.84,0.14
April 25_MA94_007.fcs,Male,PFOA 0.5,28.4,18.1,1.41,8.55,29.6,3.24,1.93,39.7,51.8,2.59,43.7,0.98,1.21,0.2
April 26_MA95_007.fcs,Male,PFOA 0.5,32.4,14.3,1.93,8.14,35.5,3.31,1.75,39.3,52.3,2.93,43.3,1.22,1.52,0.31
April 26_MA96_008.fcs,Male,PFOA 0.5,29.9,19.3,1.51,7.25,44.4,3.3,1.53,39.6,53.4,4.16,42,1.07,1.99,0.41
April 23_MA97_009.fcs,Male,PFOA 1,33.2,13.3,2.07,9.91,25.9,2.92,1.72,41.2,51.7,2.78,44.2,1.1,1.35,0.22
April 23_MA98_010.fcs,Male,PFOA 1,52.9,5.75,0.78,34,10.1,1.61,1.75,29.2,54.7,2.41,39.2,1.21,1.01,0.18
April 24_MA100_009.fcs,Male,PFOA 1,36.6,16.5,1.72,10.6,39.8,3.6,2.11,32.6,52.5,3.38,42.7,1.29,1.15,0.33
April 25_MA101_008.fcs,Male,PFOA 1,33.1,18.1,1.8,4.96,23.8,3.25,1.79,35.4,52.2,2.91,43.3,1.02,1.09,0.2
April 25_MA102_009.fcs,Male,PFOA 1,32,14.8,1.68,7.94,34.9,3.03,0.53,36.8,51.9,2.36,43.3,0.85,1.3,0.27
April 26_MA103_009.fcs,Male,PFOA 1,31.4,20.5,2.35,8.6,27.6,4.24,1.56,33.4,52.1,4.84,41.6,1.37,1.33,0.44
April 26_MA104_010.fcs,Male,PFOA 1,30.1,16.9,1.82,9.66,34.9,3.65,2.08,39.8,54.4,3.46,41.1,1.11,1.42,0.35
April 23_MA105_011.fcs,Male,PFOA 1.5,34.4,15.5,2.59,16.4,27.8,3.82,2.11,37,51.4,5.47,44.3,1.27,3.18,0.9
April 23_MA106_012.fcs,Male,PFOA 1.5,32.2,17,1.91,12.1,35.2,4.11,2.16,36.6,48.2,3.86,46.8,1.56,1.1,0.44
April 24_MA108_010.fcs,Male,PFOA 1.5,35,15.3,2.3,9.93,29.1,2.59,1.39,37.4,55.8,3.39,39.9,1.31,1.31,0.28
April 25_MA109_010.fcs,Male,PFOA 1.5,26.3,16.3,1.29,6.38,37.1,3.11,1.58,44.2,52.4,2.87,43.9,0.84,0.91,0.15
April 25_MA110_011.fcs,Male,PFOA 1.5,23.9,15.6,2.11,6.89,37.3,3.85,1.83,43.5,54.9,3.54,40.4,1.21,1.53,0.33
April 26_MA111_011.fcs,Male,PFOA 1.5,36.5,16.9,1.65,8.53,43.4,3.64,2.22,32.1,51.5,3.16,43.4,1.19,1.13,0.29
April 26_MA112_012.fcs,Male,PFOA 1.5,32.9,14.4,2.03,8.27,30.6,3.97,1.69,38.3,53.5,3.01,42,1.26,1.57,0.33
April 23_MS113_013.fcs,Male,PFOS 0.166,62.1,3.73,0.6,43.2,10.2,0.84,0.6,20.3,40.3,1.72,49.9,0.85,5.77,0.55
April 23_MS114_014.fcs,Male,PFOS 0.166,58.3,2.85,0.63,29.3,11.9,0.45,0.84,30.3,54.6,2.43,40.1,1.29,1.38,0.18
April 24_MS115_011.fcs,Male,PFOS 0.166,28,16.9,1.91,12.4,21.2,3.18,1.52,43.1,49.4,4.13,45.1,1.53,1.41,0.33
April 24_MS116_012.fcs,Male,PFOS 0.166,37.5,14.1,2,9.99,38.2,3.1,1.86,35.8,50,3.64,45,1.15,1.17,0.27
April 25_MS117_012.fcs,Male,PFOS 0.166,32.3,12,2.07,6.18,31.4,2.76,1.58,38,51.6,2.35,43.2,0.9,0.75,0.17
April 25_MS118_013.fcs,Male,PFOS 0.166,34.2,9.48,1.82,8.6,33.6,2.16,1.65,42.9,55,3.84,40.2,0.86,2.25,0.43
April 26_MS119_013.fcs,Male,PFOS 0.166,34.4,17.5,1.25,8.02,32,2.69,1.12,37.9,52.8,3.75,42.6,1.28,1.92,0.37
April 26_MS120_014.fcs,Male,PFOS 0.166,32.2,13.1,1.68,6.54,35.1,2.89,1.94,41.6,52.1,2.47,43.6,1.13,1.14,0.23
April 23_MS121_015.fcs,Male,PFOS 0.5,39.3,9.49,1.64,13.2,33.1,2.63,1.82,28.1,52.7,2.78,40.9,0.96,0.82,0.3
April 23_MS122_016.fcs,Male,PFOS 0.5,43.6,10.1,1.6,13.1,34,2.87,2.68,28.9,56.1,2.77,37.2,1.02,1.34,0.26
April 24_MS123_013.fcs,Male,PFOS 0.5,34.3,17.4,1.56,10.8,27.3,2.59,1.52,37.7,54.3,3.19,40.6,1.3,1.95,0.33
April 24_MS124_014.fcs,Male,PFOS 0.5,26.1,17.6,1.85,10.1,28.4,3.23,1.81,44.1,53,3.86,42.4,1.31,1.01,0.23
April 25_MS125_014.fcs,Male,PFOS 0.5,32.2,13.7,1.71,10.1,21.5,2.75,1.34,41.7,52.9,3.18,42.7,1.06,1.37,0.21
April 26_MS127_015.fcs,Male,PFOS 0.5,38.7,12.7,1.85,6.83,37.7,2.88,1.31,34.5,47.9,3.83,46.7,1.04,1.69,0.48
April 26_MS128_016.fcs,Male,PFOS 0.5,35.3,14.1,1.63,9.65,38.1,5.17,2.15,33.4,49.3,2.97,46,0.97,1.06,0.29
April 23_MS129_017.fcs,Male,PFOS 1,35.5,11.5,1.64,13.6,32.9,2.78,2.14,40.2,53.4,3.41,42.9,1.14,2.1,0.41
April 23_MS130_018.fcs,Male,PFOS 1,44.3,9.17,1.99,17.2,31.6,1.76,1.27,31.9,69.7,5.45,25.4,1.39,2.82,0.6
April 24_MS131_015.fcs,Male,PFOS 1,41.2,2.38,1.06,27.8,14,2.85,3.67,29.2,60.4,2.86,29.1,1.09,0.43,0.14
