Group,Mouse ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,,FOSA
Naive,FN151,Female,0.000340011,0.004098845,0.000250892,<MDL,<MDL,<MDL,0.000291961,0.000385043,0.000366867,9.53901E-05,0.000104598,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN152,Female,0.000219209,0.004679599,<MDL,<MDL,<MDL,<MDL,<MDL,0.000199288,0.00024307,9.57036E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV153,Female,0.000608385,0.007996714,<MDL,<MDL,<MDL,<MDL,0.000280367,0.000344324,0.000388831,<MDL,0.000105038,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV154,Female,0.000656966,0.006269047,<MDL,<MDL,0.000200397,<MDL,0.000348825,0.000348491,0.000301913,9.91847E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV155,Female,0.000442563,0.00639253,<MDL,<MDL,<MDL,<MDL,0.000256025,0.000312257,0.000376789,0.000102611,0.000105953,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV156,Female,0.000538541,0.003686547,<MDL,<MDL,<MDL,<MDL,0.000302368,0.000398176,0.00043367,8.7221E-05,0.000122203,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV157,Female,0.000413006,0.002342947,<MDL,<MDL,<MDL,<MDL,0.000243752,0.00037174,0.000369099,9.96489E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV158,Female,0.000442424,0.002625516,<MDL,<MDL,<MDL,<MDL,0.000249271,0.00035463,0.000375794,9.45746E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV159,Female,0.000413962,0.003967365,<MDL,<MDL,<MDL,<MDL,0.000244172,0.000323321,0.000302283,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Vehicle,FV160,Female,0.00044336,0.005734322,<MDL,<MDL,<MDL,<MDL,0.000288785,0.000329474,0.000388373,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA161,Female,9.920645129,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA162,Female,13.06481377,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA163,Female,15.18417507,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA164,Female,15.11339914,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA165,Female,6.737551216,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA166,Female,9.670435638,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA167,Female,9.583057726,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.166,FA168,Female,13.16581123,0.329512431,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.5,FA169,Female,60.82794901,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.222214816,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.5,FA170,Female,60.60209189,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.250012326,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOA 0.5,FA171,Female,57.18157906,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.259109259,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
